Perfusion Group,Sex,Animal ID,Dummy Code,Day,Paired dwell time (sec),Unpaired dwell time (sec),Paired dwell time (%),Unpaired dwell time (%),dDG Arc:DAPI,vDG Arc:DAPI,dCA3 Arc:DAPI,vCA3 Arc:DAPI,dCA1 Arc:DAPI,vCA1 Arc:DAPI
MWT,F,2340-2,,Pre-exposure,206,187,52.4173028,47.5826972,None,None,None,None,None,None
MWT,F,2340-1,,Pre-exposure,170,263,39.26096998,60.73903002,None,None,None,None,None,None
MWT,F,2340-0,,Pre-exposure,258,226,53.30578512,46.69421488,None,None,None,None,None,None
MWT,F,2341-2,,Pre-exposure,234,208,52.94117647,47.05882353,None,None,None,None,None,None
MWT,F,2341-1,,Pre-exposure,268,147,64.57831325,35.42168675,None,None,None,None,None,None
MWT,F,2341-0,,Pre-exposure,177,217,44.92385787,55.07614213,None,None,None,None,None,None
MWT,M,2336-2,,Pre-exposure,222,227,49.44320713,50.55679287,None,None,None,None,None,None
MWT,M,2336-1,,Pre-exposure,200,286,41.15226337,58.84773663,None,None,None,None,None,None
MWT,M,2336-0,,Pre-exposure,230,188,55.02392344,44.97607656,None,None,None,None,None,None
MWT,M,2337-2,,Pre-exposure,181,283,39.00862069,60.99137931,None,None,None,None,None,None
MWT,M,2337-1,,Pre-exposure,317,203,60.96153846,39.03846154,None,None,None,None,None,None
MWT,M,2337-0,,Pre-exposure,262,184,58.74439462,41.25560538,None,None,None,None,None,None
MWT,F,2340-2,,Preference test,75,265,22.05882353,77.94117647,None,None,None,None,None,None
MWT,F,2340-1,,Preference test,59,351,14.3902439,85.6097561,None,None,None,None,None,None
MWT,F,2340-0,,Preference test,240,209,53.45211581,46.54788419,None,None,None,None,None,None
MWT,F,2341-2,,Preference test,223,176,55.88972431,44.11027569,None,None,None,None,None,None
MWT,F,2341-1,,Preference test,73,295,19.83695652,80.16304348,None,None,None,None,None,None
MWT,F,2341-0,,Preference test,157,206,43.25068871,56.74931129,None,None,None,None,None,None
MWT,M,2336-2,,Preference test,205,223,47.89719626,52.10280374,None,None,None,None,None,None
MWT,M,2336-1,,Preference test,259,165,61.08490566,38.91509434,None,None,None,None,None,None
MWT,M,2336-0,,Preference test,52,251,17.16171617,82.83828383,None,None,None,None,None,None
MWT,M,2337-2,,Preference test,0,69,0,100,None,None,None,None,None,None
MWT,M,2337-1,,Preference test,283,204,58.11088296,41.88911704,None,None,None,None,None,None
MWT,M,2337-0,,Preference test,226,217,51.01580135,48.98419865,None,None,None,None,None,None
CFD,F,2342-2,,Pre-exposure,244,156,61,39,None,None,None,None,None,None
CFD,F,2342-1,,Pre-exposure,150,285,34.48275862,65.51724138,None,None,None,None,None,None
CFD,F,2342-0,,Pre-exposure,168,257,39.52941176,60.47058824,None,None,None,None,None,None
CFD,F,2343-2,,Pre-exposure,316,81,79.59697733,20.40302267,None,None,None,None,None,None
CFD,F,2343-1,,Pre-exposure,298,134,68.98148148,31.01851852,None,None,None,None,None,None
CFD,F,2343-0,,Pre-exposure,42,339,11.02362205,88.97637795,None,None,None,None,None,None
CFD,M,2338-2,,Pre-exposure,134,318,29.6460177,70.3539823,None,None,None,None,None,None
CFD,M,2338-1,,Pre-exposure,166,300,35.6223176,64.3776824,None,None,None,None,None,None
CFD,M,2338-0,,Pre-exposure,307,126,70.90069284,29.09930716,None,None,None,None,None,None
CFD,M,2339-2,,Pre-exposure,310,127,70.9382151,29.0617849,None,None,None,None,None,None
CFD,M,2339-1,,Pre-exposure,378,140,72.97297297,27.02702703,None,None,None,None,None,None
CFD,M,2339-0,,Pre-exposure,171,331,34.06374502,65.93625498,None,None,None,None,None,None
CFD,F,2342-2,,Preference test,59,308,16.07629428,83.92370572,None,None,None,None,None,None
CFD,F,2342-1,13,Preference test,154,252,37.93103448,62.06896552,0.040767396,0.060948081,0.127451022,0.062827225,0.282758621,0.243076923
CFD,F,2342-2,9,Preference test,33,284,10.41009464,89.58990536,0.029824569,0.007194245,0.139344297,0.029850746,0.326732673,0.082608696
CFD,F,2343-2,20,Preference test,122,209,36.85800604,63.14199396,0.071428571,0.070312507,0.206060601,0.053140116,0.279187817,0.100977199
CFD,F,2343-1,24,Preference test,96,268,26.37362637,73.62637363,0.027918793,0.010893255,0.145945966,0.09160305,0.275423729,0.104046243
CFD,F,2343-0,11,Preference test,0,209,0,100,0.016348774,0.008417516,0.142857143,0.037037037,0.255813953,0.149038462
CFD,M,2338-2,5,Preference test,121,280,30.17456359,69.82543641,0.050438606,0.024869116,0.14844,0.018635516,0.269230769,0.061643836
CFD,M,2338-1,14,Preference test,12,246,4.651162791,95.34883721,0.019073581,0.003571429,0.117647059,0.046875,0.277372263,0.118110236
CFD,M,2338-0,17,Preference test,235,207,53.16742081,46.83257919,0.075718026,0.064676617,0.059829094,0.019305035,0.211764706,0.111111111
CFD,M,2339-2,16,Preference test,218,261,45.51148225,54.48851775,0.021212121,0.066037736,0.014760147,0.036585418,0.181415929,0.1171875
CFD,M,2339-1,3,Preference test,262,297,46.86940966,53.13059034,0.017208421,0.006451613,0.053572063,0.034482759,0.297752809,0.128378378
CFD,M,2339-0,10,Preference test,49,351,12.25,87.75,0.020408163,0.032894746,0.085106383,0.034883737,0.21,0.18705036